Summary,Issue Type,Description,Labels,Labels,Labels,Priority,Work item ID,Parent
"[EPIC] 프로젝트 기본 구조 및 DB 모델 구축",Epic,"h2. 배경
Stock Insight 백엔드의 기본 구조를 세팅하고, MVP 핵심 도메인에 대한 SQLAlchemy 모델과 Alembic 마이그레이션을 구성한다.

h2. 범위
* FastAPI 프로젝트 구조 정리
* DB 세션/엔진 구성
* 핵심 모델 구현
* 초기 마이그레이션 작성

h2. 완료 기준
* 백엔드 프로젝트 구조가 정리되어 있다.
* 핵심 테이블 모델이 구현되어 있다.
* Alembic 마이그레이션이 실행 가능하다.

h2. 참고 문서
* docs/requirements.md
* docs/domain-model.md
* docs/erd.md
* docs/schema.md
* docs/jira-ticket-plan.md",mvp,backend,database,Highest,1,
"[EPIC] 종목 마스터 및 일봉 가격 파이프라인 구축",Epic,"h2. 배경
국내 주식 종목 마스터와 일봉 가격 데이터를 수집, 저장, 조회할 수 있는 기반을 구축한다.

h2. 범위
* 종목 마스터 수집 파이프라인
* 일봉 가격 수집 파이프라인
* 종목/가격 조회 API

h2. 완료 기준
* 종목 마스터 수집이 가능하다.
* 일봉 가격 데이터 수집이 가능하다.
* 종목/가격 조회 API가 동작한다.

h2. 참고 문서
* docs/requirements.md
* docs/pipeline.md
* docs/api-spec.md
* docs/schema.md
* docs/jira-ticket-plan.md",mvp,backend,pipeline,Highest,2,
"[EPIC] 뉴스 수집 및 뉴스-종목 매핑 구축",Epic,"h2. 배경
뉴스 데이터를 수집하고 관련 종목과 연결해 종목별 뉴스 조회가 가능하도록 한다.

h2. 범위
* 뉴스 수집 파이프라인
* 뉴스-종목 매핑 로직
* 종목 뉴스 조회 API

h2. 완료 기준
* 뉴스 수집이 가능하다.
* 뉴스-종목 매핑이 가능하다.
* 종목 뉴스 조회 API가 동작한다.

h2. 참고 문서
* docs/requirements.md
* docs/pipeline.md
* docs/api-spec.md
* docs/schema.md
* docs/jira-ticket-plan.md",mvp,backend,pipeline,High,3,
"[EPIC] 뉴스 감성 분석 및 종목 인사이트 생성 구축",Epic,"h2. 배경
수집된 뉴스와 가격 데이터를 바탕으로 감성 분석 및 종목 인사이트 생성 기능을 구축한다.

h2. 범위
* 뉴스 감성 분석 파이프라인
* 종목 인사이트 생성 파이프라인
* 인사이트 조회 API

h2. 완료 기준
* 뉴스 감성 분석 결과가 저장된다.
* 종목 인사이트가 생성되고 조회 가능하다.

h2. 참고 문서
* docs/requirements.md
* docs/pipeline.md
* docs/api-spec.md
* docs/product-decisions.md
* docs/jira-ticket-plan.md",mvp,backend,ai,High,4,
"[EPIC] 인사이트 사후 검증 기능 구축",Epic,"h2. 배경
생성된 종목 인사이트를 이후 실제 가격 흐름과 비교하는 평가 기능을 구축한다.

h2. 범위
* 인사이트 평가 배치
* 평가 결과 조회 API

h2. 완료 기준
* 평가 배치가 동작한다.
* 평가 결과 조회 API가 제공된다.

h2. 참고 문서
* docs/requirements.md
* docs/pipeline.md
* docs/api-spec.md
* docs/product-decisions.md
* docs/jira-ticket-plan.md",mvp,backend,ai,Medium,5,
"[EPIC] 이슈 기반 관심 종목 탐색 기능 구축",Epic,"h2. 배경
최근 뉴스와 이슈를 바탕으로 관심 가져볼 만한 종목 후보를 계산하고 조회할 수 있게 한다.

h2. 범위
* 관심 종목 후보 계산 로직
* 탐색 후보 조회 API

h2. 완료 기준
* 관심 종목 후보 계산 로직이 구현된다.
* 탐색 후보 API가 동작한다.

h2. 참고 문서
* docs/requirements.md
* docs/pipeline.md
* docs/api-spec.md
* docs/product-decisions.md
* docs/discovery-feature-proposal.md
* docs/jira-ticket-plan.md",mvp,backend,discovery,Medium,6,
"[STORY] 백엔드 기본 구조와 공통 인프라를 구성한다",Story,"h2. 배경
FastAPI, 설정 로딩, DB 연결, 기본 디렉터리 구조를 정리해 이후 구현의 기반을 만든다.

h2. 범위
* FastAPI 라우터 및 디렉터리 구조 정리
* 설정 및 환경 변수 로딩 구조 구현
* SQLAlchemy 엔진 및 세션 구성

h2. 완료 기준
* 공통 구조가 정리되어 있다.
* DB 연결 구성이 준비되어 있다.

h2. 참고 문서
* docs/requirements.md
* docs/domain-model.md
* docs/claude-implementation-tasks.md
* docs/jira-ticket-plan.md",mvp,backend,database,Highest,7,1
"[STORY] MVP 핵심 데이터 모델과 초기 마이그레이션을 구현한다",Story,"h2. 배경
설계 문서 기준 핵심 테이블을 SQLAlchemy와 Alembic으로 구현한다.

h2. 범위
* stocks 및 stock_price_daily 모델 구현
* 뉴스 관련 모델 구현 (news_articles, news_article_stocks, news_sentiment_runs)
* 인사이트 및 평가 모델 구현 (stock_insights, stock_insight_evaluations)
* 작업 실행 이력 모델 구현 (collection_jobs, collection_runs)
* Alembic 초기 마이그레이션 작성

h2. 완료 기준
* 핵심 모델이 구현되어 있다.
* Alembic 마이그레이션이 적용 가능하다.

h2. 참고 문서
* docs/erd.md
* docs/schema.md
* docs/domain-model.md
* docs/jira-ticket-plan.md",mvp,backend,database,Highest,8,1
"[STORY] 국내 종목 마스터 수집 파이프라인을 구현한다",Story,"h2. 배경
KOSPI/KOSDAQ 일반 주식 종목 마스터를 수집하고 최신 상태로 유지한다.

h2. 범위
* 종목 마스터 수집 서비스 구현
* 종목 마스터 동기화 로직 구현
* stock_master_sync 작업 및 실행 이력 기록 구현

h2. 완료 기준
* 종목 마스터 수집이 가능하다.
* 중복 없이 최신 상태 반영이 가능하다.

h2. 참고 문서
* docs/pipeline.md
* docs/schema.md
* docs/jira-ticket-plan.md",mvp,backend,pipeline,Highest,9,2
"[STORY] 일봉 가격 수집 파이프라인을 구현한다",Story,"h2. 배경
활성 종목의 일봉 가격을 수집하고 저장한다.

h2. 범위
* 일봉 가격 수집 서비스 구현
* 일봉 가격 upsert 로직 구현
* daily_price_sync 작업 및 실행 이력 기록 구현

h2. 완료 기준
* 가격 수집이 가능하다.
* 중복 없이 저장된다.

h2. 참고 문서
* docs/pipeline.md
* docs/schema.md
* docs/jira-ticket-plan.md",mvp,backend,pipeline,Highest,10,2
